song name,artist,genre,year,song name (bengali),,,,,,,,,,
BONE JAY ANANDA DULAL (1934), Dhirendranath Das,nazrul,1934,???? ??? ????? ?????,,,,,,,,,,
Paradeshi Jao Re ,Asha Bosle,nazrul,1996,?????? ??? ??,,,,,,,,,,
tomare ami chaiyachi priyo, Mnobendra Mukherjee,nazrul,1966,?????? ??? ???????? ??????,,,,,,,,,,
Ami Chiratare Dure Chale Jabo (1979,Firoza Begum,nazrul,1979,??? ?????? ???? ??? ??? ,,,,,,,,,,
Aro Kotodin Baki ,Meena Bandopadhyay,nazrul,1941,??? ??????? ????,,,,,,,,,,
Sedin Nishithe Mor Kane Kane ,Beenapani Mukhopadhyay,nazrul,1938,????? ?????? ??? ???? ????,,,,,,,,,,
Shokhi Oi Shono,Tina Ghoshal  ,nazrul,2021,??? ?? ????,,,,,,,,,,
Hey Parthasarathi ,Anjali Mukhopadhyay,nazrul,1995,?? ??????????,,,,,,,,,,
Koto Kotha Chilo,Indranil Sen,nazrul,2020,???? ???? ????,,,,,,,,,,
abar valobashar shadh jage ,Himanti Sukla,nazrul,1989,??? ???????? ??? ????,,,,,,,,,,
Mohua Bone Bon Papiya,Firoza Begum,nazrul,1991,????? ??? ?? ??????,,,,,,,,,,
He Madhaba He Madhabo ,Manabendra Mukherjee  ,nazrul,1998,?? ???? ?? ?????,,,,,,,,,,
Shiuli Phuler Mala Dole  , Usharani Debi,nazrul,1934,????? ????? ???? ????,,,,,,,,,,
Ebar Nabin Mantre Hobe  ,Anup Ghosal,nazrul,1987,??? ???? ?????? ????,,,,,,,,,,
Aslo Jakhon Phuler Fagun ,Manabendra Mukherjee,nazrul,1973,???? ??? ????? ?????,,,,,,,,,,
Palas Phuler,Manabendra Mukherjee,nazrul,1973,????? ?????,,,,,,,,,,
Tomar mone phutbe jabe ,Indrani Sen,nazrul,2003,????? ??? ????? ????,,,,,,,,,,
Bholo Priyo Bholo ,Indrani Sen,nazrul,1981,???? ?????? ????,,,,,,,,,,
Abar Keno Ager ,Jaganmoy Mitra ,nazrul,1945,??? ???? ???,,,,,,,,,,
Eso Priyo Aaro Kachhe (1992,Shipra Basu ,nazrul,1992,??? ?????? ??? ???,,,,,,,,,,
Ebar Jakhan Uthbe Sandhyatara ,Manabendra Mukhopadhyay,nazrul,1980,??? ??? ???? ???????????,,,,,,,,,,
Aami Natun Kare Gorbo Thakur  ,Mitali Banerjee,nazrul,2018,??? ????? ??? ???? ?????,,,,,,,,,,
Ami Prabhati Tara Purbachale ,Jutikha Roy,nazrul,1936,??? ??????? ???? ?????????,,,,,,,,,,
Phiriya Jadi Se Ase ,Anuradha Paudwal,nazrul,1997,??????? ???? ?? ??,,,,,,,,,,
Gaho Nam Obiram,Kamal Dasgupta,nazrul,2022,??? ??? ??????,,,,,,,,,,
JEDIN ROJ HASHARE KORTE BICHAR (1940) ,Mohd. Kasem ,nazrul,1940,????? ??? ????? ????? ????? ,,,,,,,,,,
Chhilo Chand Megher Pare,Anup Ghosal,nazrul,1955,???? ???? ????? ????,,,,,,,,,,
Bono Harinire Taba Banaka Ankhir ,Manabendra Mukherjee ,nazrul,1974,??? ??????? ??? ????? ?????,,,,,,,,,,
